sentence,Type of violence,Type of aggressive communication,Description
Ha creato un account falso per controllare che io faccia quello che mi dice.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di monitoraggio cyber limitando la libertà personale
"Si comporta in modo strano, lei mi dice che non ha niente, ma so che non è così.",Violenza/Aggressività psicologica,Nessuna,"Questa frase può essere interpretata come una forma di violenza psicologica, poiché implica una supposizione sugli stati d'animo e sui comportamenti altrui"
Non sono niente senza di te.,Violenza/Aggressività psicologica,Minaccia,"Questa frase è un esempio di violenza psicologica in quanto l’ interlocutore utilizza una minaccia implicita, suggerendo che la persona perderebbe valore se si allontanasse."
"Se mi ami, fallo per me.",Violenza/Aggressività psicologica,Minaccia,Questa frase è una forma di violenza psicologica in quanto costringe ad un comportamento involuto
"Devo fare quello che vuole lei, quando vuole lei e come vuole lei.","Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo volta ad attaccare la libertà personale
"Se non fai ciò che ti dico, non potrò stare più con te.","Stalking, monitoraggio e controllo",Minaccia,Questa frase è un esempio di controllo volta ad attaccare la libertà personale minacciandola
Nessuno al mondo ti amerà più di me.,Violenza/Aggressività psicologica,Maledizione,Questa frase è una forma di violenza psicologica in quanto augura alla persona di non poter trovare qualcuno che equipara il sentimento
"Non mi arrabbio facilmente, ma se lo faccio, stai lontana da me.",Violenza/Aggressività psicologica,Minaccia,Questa frase è una minaccia implicita di violenza quando la persona è arrabbiata intimidendola
"Se davvero mi amassi, lo faresti senza pensarci.","Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Minaccia,Questa frase è una forma di violenza psicologica in quanto costringe ad un comportamento involuto
"Sei debole, piangi per ogni cosa.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare e sminuire la persona e le sue emozioni
"Esageri sempre, ti inventi storie.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare e sminuire la persona
"Non volevo ferirti, stavo scherzando.",Violenza/Aggressività psicologica,Attacchi,"Questa frase è una forma di violenza psicologica in quanto giustifica, come uno scherzo, un comportamento che ha arrecato sofferenza"
Mi ricorda sempre i miei fallimenti.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è una forma di violenza psicologica in quanto accusa la persona rivivere dei fallimenti
Non mi piace che commenti le foto di ragazzi.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber controllo in quanto mira alla libertà di interazione sui social media
"Quando chiami il tuo amico per uscire e lui dice: dimmi velocemente, non posso parlare, c'è la mia ragazza.","Stalking, monitoraggio e controllo",Nessuna,Questa frase può essere interpretata come forma di controllo subito se la presenza del partner viene utilizzata come scusa per limitare le interazioni sociali
"Lei mi dice che ho ragione e che non valgo niente, che è la cosa peggiore.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è una forma di violenza psicologica in quanto allude a un comportamento di ridicolizzazione della persona
"Non so più cosa è reale o no, mi fa dubitare persino di ciò che vedo con i miei occhi.",Violenza/Aggressività psicologica,Attacchi,Questa frase è una forma di violenza psicologica in quanto riferisce una forma di manipolazione volta a far dubitare il partner della propria percezione della realtà
"""Che affettuosa la tua """"amichetta"""", sicuramente ha una cotta per te e tu ti lasci toccare.""",Violenza/Aggressività psicologica,"Attacchi, Ridicolizzazione/Derisione",Questa frase è una forma di violenza psicologica in quanto ridicolizza una terza persona accusando un comportamento
Perché non rispondi? Con chi stai parlando?,"Cyber Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di controllo cyber in quanto implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
Rispondi alla chiamata.,"Cyber Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di controllo cyber in quanto è un ordine il quale implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
"Sei tutto ciò che ho, non lasciarmi.",Violenza/Aggressività psicologica,Minaccia,"Questa frase è un esempio di violenza psicologica in quanto l’ interlocutore utilizza una minaccia implicita, suggerendo che la persona perderebbe valore se si allontanasse."
"Non fare lo stupido, sai che quella ragazza ha una cotta per te.",Violenza/Aggressività psicologica,Attacchi,Questa frase può essere interpretata come forma di violenza psicologica se utilizzata per controllare il comportamento dell’altra persona
Non sono al tuo livello.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica autoinferta sminuendosi
"Se non hai nulla da nascondere e c'è fiducia tra di noi, dammi le tue password.","Cyber Stalking, monitoraggio e controllo",Minaccia,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner attraverso l’appropriazione delle password
"Se indossi quel vestito, mi manchi di rispetto.","Stalking, monitoraggio e controllo, Violenza/Aggressività psicologica",Minaccia,Questa frase è un esempio di controllo in quanto impone un divieto sul come vestirsi minacciandola
"Perché l'ultimo accesso è alle due di notte, se mi hai detto che andavi a dormire presto?","Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner
